Code,Name,City,Slug,Lat,Long
BOM,Mumbai,Mumbai,bom,19.088686,72.867919
MAA,Chennai,Chennai,maa,12.994414,80.180517
RGN,Yangon,Yangon,rgn,16.907305,96.133222
FUK,Fukuoka,Fukuoka,fuk,33.585942,130.450686
PEN,Penang,Penang,pen,5.297139,100.276864
REP,Siem Reap,Siem Reap,rep,13.410666,103.81284
SWA,Shantou,Shantou,swa,23.4,116.683
HBE,Alexandria Borg el Arab,Alexandria (EG),hbe,30.917669,29.696408
JIK,Ikaria Island,Ikaria Island,jik,37.682717,26.347061
JTY,Astypalaia Island,Astypalaia Island,jty,36.579886,26.375822
JNX,Naxos Is,Naxos Is,jnx,37.080556,25.368056
JKL,Kalymnos Island,Kalymnos Island,jkl,36.963333,26.940556
YUL,Montreal Pierre Elliott Trudeau Int Apt,Montreal,yul,45.470556,-73.740833
MLO,Milos,Milos,mlo,36.696111,24.4775
KIT,Kythira,Kythira,kit,36.274258,23.016978
JSY,Syros Island,Syros Island,jsy,37.422792,24.950936
JSI,Skiathos,Skiathos,jsi,39.1771,23.503675
BAH,Bahrain,Bahrain,bah,26.270834,50.63361
PAS,Paros,Paros,pas,37.010278,25.127778
AOK,Karpathos,Karpathos,aok,35.421408,27.146008
LRS,Leros,Leros,lrs,37.184903,26.800289
EVN,Yerevan,Yerevan,evn,40.147275,44.395881
KRR,Krasnodar,Krasnodar,krr,45.034689,39.170539
BGO,Bergen,Bergen,bgo,60.293386,5.218142
SVG,Stavanger,Stavanger,svg,58.876778,5.637856
TRD,,,trd,63.457556,10.92425
GOT,Goteborg Landvetter Apt,Goteborg,got,57.662836,12.279819
TOS,,,tos,69.683333,18.918919
AES,,,aes,62.560372,6.110164
AAL,,,aal,57.092789,9.849164
ARN,Stockholm Arlanda Apt,Stockholm,arn,59.651944,17.918611
FLL,,,fll,26.072583,-80.15275
LAX,Los Angeles International Apt,Los Angeles,lax,33.942536,-118.408075
MCO,Orlando International Apt,Orlando,mco,28.429394,-81.308994
BGI,Barbados,Barbados,bgi,13.074603,-59.492456
UVF,Hewanorra Intl,St Lucia,uvf,13.733194,-60.952597
ANU,,,anu,17.136749,-61.792667
BFS,Belfast International Apt,Belfast,bfs,54.6575,-6.215833
BIA,Bastia,Bastia,bia,42.552664,9.483731
AYT,Antalya,Antalya,ayt,36.898731,30.800461
DLM,Dalaman,Dalaman,dlm,36.713056,28.7925
VCE,Venice Marco Polo Apt,Venice,vce,45.505278,12.351944
TJM,Tyumen,,tjm,57.189567,65.3243
ORY,Paris Orly Apt,,ory,48.725278,2.359444
LIN,Milan Linate Apt,Milan,lin,45.445103,9.276739
ORN,Oran Ahmed Ben Bella Apt,,orn,35.623858,-0.621183
KUF,Samara,,kuf,53.5,50.15
OVD,Asturias,,ovd,43.563567,-6.034622
RTM,Rotterdam Apt,,rtm,51.956944,4.437222
EAS,San Sebastian,,eas,43.356519,-1.790611
MLN,Melilla,,mln,35.279817,-2.956256
LEN,Leon,,len,42.589,-5.655556
SPC,Santa Cruz de la Palma,Santa Cruz de la Palma,spc,28.626478,-17.755611
CWL,Cardiff (GB) 00,Cardiff (GB) 00,cwl,51.396667,-3.343333
